"# Tucson June 23--Jul7, 2017 weather from airport observations to go with CAISO prices from same time period.",,,,,,
# Datetime Temp(F) RH (%) solar_direct (W/sf) solar_difuse (W/sf) pressure (kPA) wind (m/s),,,,,,
$state_name=Arizona,,,,,,
$city_name=Tucson,,,,,,
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed,
07:05:05:00:00,84.02,0.35,0,0,926.61,3.1
07:05:06:00:00,84.02,0.35,0,0,926.61,3.1
07:05:07:00:00,87.08,0.32,15.98,4.65,928.53,4.1
07:05:08:00:00,89.06,0.3,35.4,9.48,929.27,0
07:05:09:00:00,93.02,0.27,52.21,13.29,929.84,0
07:05:10:00:00,95,0.25,63.17,15.14,930.03,0
07:05:11:00:00,98.06,0.22,70.42,15.98,930.01,5.1
07:05:12:00:00,98.06,0.22,71.91,18.49,930.01,5.1
07:05:13:00:00,102.92,0.16,75.25,17.56,929.31,6.7
07:05:14:00:00,104,0.14,82.78,12.17,928.9,5.7
07:05:15:00:00,104,0.14,81.01,12.26,928.08,5.7
07:05:16:00:00,105.08,0.13,78.22,11.71,927.4,6.7
07:05:17:00:00,105.08,0.12,73.49,10.68,926.75,6.2
07:05:18:00:00,105.08,0.12,64.75,9.2,926.75,6.2
07:05:19:00:00,102.02,0.13,47.19,6.97,926.7,4.6
07:05:20:00:00,98.96,0.14,0,0,926.83,4.1
07:05:21:00:00,96.98,0.15,0,0,926.82,1.5
07:05:22:00:00,93.92,0.17,0,0,927.13,1.5
07:05:23:00:00,91.04,0.18,0,0,927.08,0
07:06:00:00:00,91.04,0.18,0,0,927.08,0
07:06:01:00:00,91.04,0.27,0,0,928.09,4.1
07:06:02:00:00,89.96,0.31,0,0,927.84,2.6
07:06:03:00:00,87.08,0.3,0,0,928.16,3.1
07:06:04:00:00,87.08,0.36,0,0,928.25,4.6
07:06:05:00:00,84.92,0.39,0,0,928.3,3.1
07:06:06:00:00,84.92,0.39,0,0,928.3,3.1
